method,target_depth_um,scipy_interpolated_percent_white,manual_coefficients,manual_interpolated_percent_white,manual_points_used_depth_um,manual_points_used_percent_white,manual_vs_scipy_absolute_difference
linear,345.0,0.9232376302991596,"[0.5638446126665387, 0.0010417188916887557]",0.9232376302991594,"[330.0, 750.0]","[0.9076118469238281, 1.3451337814331055]",1.1102230246251563e-16
quadratic,345.0,0.9215396352013813,"[0.3817363569357325, 0.001836373098514092, -7.357909322456818e-07]",0.927707560212552,"[330.0, 750.0, 860.0]","[0.9076118469238281, 1.3451337814331055, 1.4168262481689453]",0.006167925011170694
